                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 node_id	score
4037	0.001858060332434585
15	0.0013038591589361592
6634	0.0012605924829167804
2625	0.0012487255316823848
2398	0.0009630802556965907
2470	0.0009616681931586528
2237	0.0008874668894204426
4191	0.000869805228500358
6946	0.0008400644159368738
7553	0.0008362182481775489
